doc_id,sid,tid,token,token_with_ws,lemma,upos,xpos,tid_source,relation,token_clean,expected_prediction
940,1,9,and,and,and,CCONJ,CC,8,cc,and,1.36E-06
940,1,10,subtle,subtle,subtle,ADJ,JJ,8,conj,subtle,8.38E-07
940,2,1,But,But,but,CCONJ,CC,4,cc,but,1.59E-09
940,2,2,such,such,such,ADJ,JJ,3,amod,such,1.30E-07
940,2,3,finesse,finesse,finesse,NOUN,NN,4,nsubj,finesse,1.37E-04
940,2,4,is,is,be,VERB,VBZ,0,root,is,2.42E-10
940,2,5,n't,n't,not,ADV,RB,4,neg,nt,0.001345162
940,2,6,always,always,always,ADV,RB,4,advmod,always,2.48E-08
940,2,7,evident,evident,evident,ADJ,JJ,4,acomp,evident,4.69E-08
940,2,8,in,in,in,ADP,IN,4,prep,in,2.28E-09
940,2,9,older,older,old,ADJ,JJR,10,amod,older,3.89E-09
940,2,10,expressions,expressions,expression,NOUN,NNS,8,pobj,expressions,1.99E-07
940,2,12,which,which,which,DET,WDT,15,nsubjpass,which,4.35E-09
940,2,13,often,often,often,ADV,RB,15,advmod,often,6.92E-08
940,2,14,become,become,become,VERB,VBP,15,auxpass,become,1.15E-04
940,2,15,dominated,dominated,dominate,VERB,VBN,10,relcl,dominated,2.79E-05
940,2,16,by,by,by,ADP,IN,15,agent,by,7.65E-06
940,2,17,sherry,sherry,sherry,NOUN,NN,16,pobj,sherry,0.999981284
940,2,18,and,and,and,CCONJ,CC,17,cc,and,7.57E-07
940,2,19,oak,oak,oak,VERB,VB,17,conj,oak,0.99999845
940,3,1,This,This,this,DET,DT,2,det,this,8.06E-09
940,3,2,one,one,one,NOUN,NN,10,nsubj,one,2.02E-10
940,3,4,at,at,at,ADP,IN,10,prep,at,3.19E-08
940,3,5,35,35,35,NUM,CD,6,nummod,35,6.88E-07
940,3,6,years,years,year,NOUN,NNS,4,pobj,years,1.92E-09
940,3,7,of,of,of,ADP,IN,6,prep,of,4.35E-10
940,3,8,age,age,age,NOUN,NN,7,pobj,age,6.61E-08
940,3,10,demonstrates,demonstrates,demonstrate,VERB,VBZ,0,root,demonstrates,1.29E-07
940,3,11,plenty,plenty,plenty,NOUN,NN,10,dobj,plenty,1.70E-04
940,3,12,of,of,of,ADP,IN,11,prep,of,8.24E-10
940,3,13,elegance,elegance,elegance,NOUN,NN,12,pobj,elegance,1.04E-06
940,3,14,and,and,and,CCONJ,CC,13,cc,and,1.15E-06
940,3,15,finesse,finesse,finesse,NOUN,NN,13,conj,finesse,2.06E-04
940,4,1,What,What,what,PRON,WP,2,nsubj,what,2.04E-08
940,4,2,impresses,impresses,impress,VERB,VBZ,8,csubj,impresses,1.75E-04
940,4,3,me,me,-PRON-,PRON,PRP,2,dobj,me,4.76E-08
940,4,4,most,most,most,ADJ,JJS,2,advmod,most,2.92E-08
940,4,5,about,about,about,ADP,IN,4,prep,about,2.84E-06
940,4,6,this,this,this,DET,DT,7,det,this,3.60E-09
940,4,7,whisky,whisky,whisky,NOUN,NN,5,pobj,whisky,1.56E-06
940,4,8,is,is,be,VERB,VBZ,0,root,is,1.20E-10
940,4,9,that,that,that,ADP,IN,13,mark,that,4.14E-11
940,4,10,you,you,-PRON-,PRON,PRP,13,nsubj,you,1.15E-08
940,4,11,would,would,would,AUX,MD,13,aux,would,5.05E-10
940,4,12,n't,n't,not,ADV,RB,13,neg,nt,6.95E-04
940,4,13,know,know,know,VERB,VB,8,ccomp,know,1.89E-07
940,4,14,it,it,-PRON-,PRON,PRP,15,nsubj,it,1.07E-09
940,4,15,was,was,be,VERB,VBD,13,ccomp,was,1.58E-10
940,4,16,35,35,35,NUM,CD,17,nummod,35,9.43E-07
940,4,17,year,year,year,NOUN,NN,18,npadvmod,year,1.08E-09
940,4,18,old,old,old,ADJ,JJ,15,acomp,old,4.43E-10
940,4,19,just,just,just,ADV,RB,20,advmod,just,2.01E-09
940,4,20,by,by,by,ADP,IN,15,prep,by,8.54E-06
940,4,21,taste,taste,taste,NOUN,NN,20,pobj,taste,6.06E-06
940,5,1,It,It,-PRON-,PRON,PRP,2,nsubj,it,2.87E-09
940,5,2,is,is,be,VERB,VBZ,0,root,is,3.68E-10
940,5,3,n't,n't,not,ADV,RB,2,neg,nt,0.001318725
940,5,4,the,the,the,DET,DT,6,det,the,6.04E-08
940,5,5,least,least,least,ADJ,JJS,6,amod,least,8.35E-08
940,5,6,bit,bit,bit,NOUN,NN,7,npadvmod,bit,1.72E-07
